Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-1;0.0
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. MARTIN LOPEZ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-1;0.0
A. PUIG LLUCH - B. MANEL - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;-1;0.0
A. PUIG LLUCH - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;3;5;0;0;2;1;0;0;1;0;0;0;3;4;0;0;1;0;1;0;3;1;0;-2;5.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;9;9;2;2;7;1;3;2;0;7;5;2;4;1;0;0;2;2;1;2;1;5;1;0;12.32
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS;2;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;2;1.0
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. SIFTAR;2;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;2;1.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - J. SIFTAR;11;3;4;3;2;1;3;2;2;4;2;2;1;2;0;0;1;3;0;1;0;1;1;8;6.32
A. PUIG LLUCH - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR;7;2;3;3;0;0;2;1;2;3;3;0;1;1;0;0;2;0;1;0;0;0;1;5;4.88
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR;51;5;28;19;6;1;14;10;9;24;16;8;7;12;0;2;6;12;2;0;1;7;5;46;39.16
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. BOUMTJE BOUMTJE;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. MARTIN LOPEZ;2;1;1;1;1;0;0;0;2;3;3;0;0;1;0;0;0;0;0;0;1;1;1;1;2.0
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;3;4;1;0;2;1;0;0;1;5;4;1;4;4;0;0;1;1;1;0;2;1;0;-1;6.0
B. MANEL - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;0;3;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;1;0;-3;2.0
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - O. FILBA GONZALEZ;2;1;1;1;1;0;0;0;2;2;2;0;0;1;0;0;0;0;0;0;1;1;1;1;2.0
A. PUIG LLUCH - B. MANEL - J. MARTIN LOPEZ - O. FILBA GONZALEZ;2;1;1;1;1;0;0;0;2;2;2;0;0;1;0;0;0;0;0;0;1;1;1;1;2.0
A. PUIG LLUCH - E. DESTOM ALGER - J. MARTIN LOPEZ - O. FILBA GONZALEZ;2;1;1;1;1;0;0;0;2;2;2;0;0;1;0;0;0;0;0;0;1;1;1;1;2.0
B. MANEL - E. DESTOM ALGER - J. MARTIN LOPEZ - O. FILBA GONZALEZ;4;3;2;2;1;0;0;0;3;2;2;0;0;1;0;0;1;0;1;0;1;1;1;1;3.0
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. SIFTAR;5;0;2;2;1;0;2;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;5;2.88
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - P. CRUZ URBANEJA;5;0;2;2;1;0;2;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;5;2.88
A. PUIG LLUCH - B. MANEL - J. SIFTAR - P. CRUZ URBANEJA;14;3;5;4;3;1;5;3;1;4;1;3;1;2;0;0;1;4;0;1;0;2;2;11;8.2
A. PUIG LLUCH - E. DESTOM ALGER - J. SIFTAR - P. CRUZ URBANEJA;8;4;2;2;3;1;2;1;1;3;1;2;4;2;0;0;2;3;2;0;0;1;1;4;7.88
B. MANEL - E. DESTOM ALGER - J. SIFTAR - P. CRUZ URBANEJA;5;0;2;2;1;0;2;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;5;2.88
A. PUIG LLUCH - B. MANEL - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;5;3;2;1;1;1;0;0;1;3;2;1;0;0;0;0;1;0;1;0;1;0;1;2;2.0
A. PUIG LLUCH - B. MANEL - J. BOUMTJE BOUMTJE - P. CRUZ URBANEJA;5;3;2;1;1;1;0;0;1;3;2;1;0;0;0;0;1;0;1;0;1;0;1;2;2.0
A. PUIG LLUCH - B. MANEL - O. FILBA GONZALEZ - P. CRUZ URBANEJA;7;3;3;2;2;1;0;0;1;4;3;1;0;1;0;0;2;0;1;0;1;1;1;4;4.0
A. PUIG LLUCH - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ - P. CRUZ URBANEJA;5;3;2;1;1;1;0;0;1;3;2;1;0;0;0;0;1;0;1;0;1;0;1;2;2.0
B. MANEL - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ - P. CRUZ URBANEJA;11;5;8;4;1;1;0;0;3;4;2;2;1;1;0;0;3;0;1;0;3;2;1;6;8.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ;0;3;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;2;0;-3;2.0
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - P. CRUZ URBANEJA;17;6;8;6;4;1;3;2;1;6;4;2;1;2;0;0;1;3;0;2;0;4;1;11;12.32
A. PUIG LLUCH - B. MANEL - J. MARTIN LOPEZ - P. CRUZ URBANEJA;0;3;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;2;0;-3;2.0
A. PUIG LLUCH - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;7;8;4;2;2;1;2;0;2;3;2;1;1;0;0;0;1;1;2;1;1;3;1;-1;6.88
B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;25;37;18;8;11;2;5;3;7;15;9;6;9;4;0;1;4;7;11;4;3;12;2;-12;34.2
A. PUIG LLUCH - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;9;5;3;2;2;1;3;2;1;3;1;2;2;1;0;0;1;4;1;1;0;1;1;4;6.32
B. MANEL - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;59;13;30;20;8;3;13;10;10;22;13;9;7;8;0;2;4;8;3;2;1;8;3;46;41.72
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - N. KUSTURICA;6;0;3;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3.0
A. PUIG LLUCH - B. MANEL - N. KUSTURICA - P. CRUZ URBANEJA;6;0;3;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3.0
A. PUIG LLUCH - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA;6;0;3;3;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;6;3.88
B. MANEL - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA;44;13;22;17;6;2;4;4;10;16;13;3;5;4;0;1;2;4;5;1;0;6;1;31;31.76
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - O. FILBA GONZALEZ;2;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;2;2.0
A. PUIG LLUCH - J. CERDAN PALACIOS - O. FILBA GONZALEZ - P. CRUZ URBANEJA;2;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;2;2.0
B. MANEL - J. CERDAN PALACIOS - O. FILBA GONZALEZ - P. CRUZ URBANEJA;2;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;2;2.0
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - E. DESTOM ALGER;9;4;6;4;2;0;2;1;2;5;2;3;2;1;1;0;0;2;2;0;0;1;0;5;7.88
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - J. MARTIN LOPEZ;9;4;6;4;2;0;2;1;2;5;2;3;2;1;1;0;0;2;2;0;0;1;0;5;7.88
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ;47;16;24;15;9;3;11;8;5;23;11;12;5;6;4;1;6;7;4;2;2;5;6;31;30.839999999999996
A. PUIG LLUCH - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. MARTIN LOPEZ;12;8;6;4;4;1;2;1;3;5;2;3;5;5;1;0;1;2;3;0;2;2;0;4;12.879999999999999
C. GAYE - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. MARTIN LOPEZ;9;4;6;4;2;0;2;1;2;5;2;3;2;1;1;0;0;2;2;0;0;1;0;5;7.88
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS;5;2;2;2;0;0;2;1;1;2;2;0;1;0;0;0;1;0;1;0;0;0;1;3;3.88
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - J. SIFTAR;5;2;2;2;0;0;2;1;1;2;2;0;1;0;0;0;1;0;1;0;0;0;1;3;3.88
A. PUIG LLUCH - C. GAYE - J. CERDAN PALACIOS - J. SIFTAR;5;2;2;2;0;0;2;1;1;2;2;0;1;0;0;0;1;0;1;0;0;0;1;3;3.88
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR;17;20;9;5;5;2;2;1;4;7;6;1;4;1;0;0;8;1;6;2;2;6;4;-3;17.88
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. CERDAN PALACIOS;18;12;9;5;2;0;13;8;2;11;4;7;4;3;1;1;5;7;2;2;2;1;1;6;13.719999999999999
A. PUIG LLUCH - C. GAYE - J. CERDAN PALACIOS - J. MARTIN LOPEZ;10;4;7;3;1;0;5;4;0;8;3;5;3;2;1;1;4;3;1;0;2;1;1;6;8.2
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ;19;10;11;5;3;1;9;6;2;13;6;7;4;3;1;2;6;6;3;0;4;3;2;9;14.959999999999997
C. GAYE - E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ;10;4;7;3;1;0;5;4;0;8;3;5;3;2;1;1;4;3;1;0;2;1;1;6;8.2
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - P. CRUZ URBANEJA;19;13;7;6;4;1;8;4;3;8;4;4;1;2;1;0;2;4;2;3;0;1;4;6;11.52
A. PUIG LLUCH - C. GAYE - J. CERDAN PALACIOS - P. CRUZ URBANEJA;8;8;2;2;1;0;8;4;2;3;1;2;1;1;0;0;1;4;1;2;0;0;0;0;5.52
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - P. CRUZ URBANEJA;15;15;5;4;2;1;12;4;4;5;2;3;3;1;0;0;3;6;4;2;1;2;1;0;12.28
C. GAYE - E. DESTOM ALGER - J. CERDAN PALACIOS - P. CRUZ URBANEJA;8;8;2;2;1;0;8;4;2;3;1;2;1;1;0;0;1;4;1;2;0;0;0;0;5.52
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - N. KUSTURICA;17;3;6;4;3;2;4;3;2;5;3;2;0;2;1;0;1;2;0;1;0;2;1;14;8.76
A. PUIG LLUCH - C. GAYE - J. MARTIN LOPEZ - N. KUSTURICA;17;3;6;4;3;2;4;3;2;5;3;2;0;2;1;0;1;2;0;1;0;2;1;14;8.76
A. PUIG LLUCH - E. DESTOM ALGER - J. MARTIN LOPEZ - N. KUSTURICA;19;4;8;4;4;2;6;5;2;12;8;4;1;3;1;1;2;5;0;1;1;3;1;15;11.64
C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ - N. KUSTURICA;20;3;7;4;5;3;4;3;3;5;3;2;1;2;1;0;1;2;0;1;0;3;1;17;12.76
A. PUIG LLUCH - C. GAYE - J. MARTIN LOPEZ - P. CRUZ URBANEJA;11;5;5;4;3;1;0;0;1;5;3;2;0;1;1;0;1;0;1;1;0;1;4;6;6.0
A. PUIG LLUCH - E. DESTOM ALGER - J. MARTIN LOPEZ - P. CRUZ URBANEJA;18;10;8;6;4;2;2;0;3;7;4;3;1;1;1;0;2;1;3;1;1;2;5;8;10.879999999999999
C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ - P. CRUZ URBANEJA;11;5;5;4;3;1;0;0;1;5;3;2;0;1;1;0;1;0;1;1;0;1;4;6;6.0
A. PUIG LLUCH - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE;14;9;5;4;5;2;0;0;5;5;2;3;3;5;0;0;4;0;2;0;5;1;1;5;10.0
D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ;4;7;0;0;3;1;1;1;1;0;0;0;4;4;0;0;4;0;1;1;2;2;0;-3;7.44
A. PUIG LLUCH - D. FERRERAS CAMARERO - E. DESTOM ALGER - O. FILBA GONZALEZ;11;5;5;4;3;1;0;0;4;5;2;3;0;1;0;0;3;0;1;0;3;0;1;6;5.0
A. PUIG LLUCH - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;11;5;5;4;3;1;0;0;4;5;2;3;0;1;0;0;3;0;1;0;3;0;1;6;5.0
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;11;5;5;4;3;1;0;0;4;5;2;3;0;1;0;0;3;0;1;0;3;0;1;6;5.0
D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;12;5;5;4;3;1;1;1;4;5;2;3;0;1;0;0;5;0;1;0;3;0;1;7;5.44
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - N. KUSTURICA;0;0;1;0;0;0;0;0;0;4;3;1;1;0;0;0;0;1;0;0;0;0;0;0;1.0
A. PUIG LLUCH - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA;0;0;1;0;0;0;0;0;0;4;3;1;1;0;0;0;0;1;0;0;0;0;0;0;1.0
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA;13;10;5;3;1;1;4;4;2;8;7;1;2;0;1;0;1;4;3;1;1;1;2;3;8.76
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR;3;2;0;0;2;1;0;0;1;2;1;1;3;1;0;0;0;1;1;0;0;0;0;1;4.0
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - P. CRUZ URBANEJA;3;2;0;0;2;1;0;0;1;2;1;1;3;1;0;0;0;1;1;0;0;0;0;1;4.0
A. PUIG LLUCH - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA;3;2;0;0;2;1;0;0;1;2;1;1;3;1;0;0;0;1;1;0;0;0;0;1;4.0
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA;22;12;7;6;7;3;2;1;2;5;3;2;3;5;1;0;1;4;6;0;0;2;2;10;15.879999999999999
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - N. KUSTURICA;2;1;1;0;1;0;4;2;0;3;2;1;0;1;0;1;1;2;0;0;1;2;0;1;2.76
A. PUIG LLUCH - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA;2;1;1;0;1;0;2;2;0;3;2;1;0;1;0;1;1;2;0;0;1;1;0;1;1.88
E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA;8;1;3;1;4;1;4;3;1;8;5;3;0;2;0;1;2;3;0;0;1;3;1;7;5.76
E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;7;5;3;2;1;1;2;0;2;2;1;1;1;0;0;0;1;1;2;0;1;1;1;2;4.88
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - J. SIFTAR;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;-2;1.0
E. DESTOM ALGER - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;-2;1.0
A. PUIG LLUCH - E. DESTOM ALGER - N. KUSTURICA - P. CRUZ URBANEJA;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.88
E. DESTOM ALGER - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.88
B. MANEL - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;-3;2.0
B. MANEL - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. MARTIN LOPEZ;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;-3;2.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS;10;11;4;0;5;3;2;1;2;9;6;3;2;1;0;1;1;3;3;1;2;4;5;-1;8.879999999999999
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ;25;33;16;7;10;3;4;2;5;12;6;6;8;5;0;1;4;6;9;4;3;9;2;-8;29.76
B. MANEL - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ;3;5;0;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1;1;0;0;2;-2;2.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ;5;3;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;31;24;20;11;10;2;6;3;10;17;13;4;12;7;3;0;8;7;7;2;4;14;9;7;40.64
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - O. FILBA GONZALEZ;27;4;13;10;5;1;6;4;6;14;11;3;4;7;0;1;2;9;2;0;0;4;4;23;21.64
B. MANEL - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - O. FILBA GONZALEZ;3;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;1.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - O. FILBA GONZALEZ;19;20;10;5;9;3;0;0;7;9;6;3;2;3;0;0;4;5;4;2;6;8;4;-1;18.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - P. CRUZ URBANEJA;18;14;16;5;5;2;4;2;5;18;10;8;5;2;1;1;3;4;5;0;4;6;5;4;19.759999999999998
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - P. CRUZ URBANEJA;61;39;39;18;17;5;15;10;11;35;20;15;14;13;0;3;9;13;12;3;6;19;9;22;61.599999999999994
B. MANEL - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - P. CRUZ URBANEJA;4;8;4;0;3;1;2;1;1;9;6;3;2;0;0;1;1;3;3;0;2;4;4;-4;6.88
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - P. CRUZ URBANEJA;32;35;16;7;13;5;8;3;6;22;15;7;7;2;0;1;8;6;14;0;7;13;9;-3;32.51
B. MANEL - D. FERRERAS CAMARERO - J. MARTIN LOPEZ - O. FILBA GONZALEZ;8;2;3;3;5;0;3;2;0;7;5;2;3;2;0;0;1;3;1;0;0;4;1;6;10.32
B. MANEL - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - O. FILBA GONZALEZ;6;2;2;2;5;0;3;2;0;7;5;2;3;1;0;0;1;2;1;0;0;4;1;4;9.32
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - O. FILBA GONZALEZ;19;11;13;8;6;0;6;3;4;19;13;6;7;1;3;0;7;5;5;0;1;6;5;8;22.63
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. SIFTAR;2;4;4;1;0;0;0;0;0;3;1;2;1;1;1;0;0;1;2;0;0;1;1;-2;3.0
B. MANEL - D. FERRERAS CAMARERO - J. SIFTAR - P. CRUZ URBANEJA;29;5;19;10;3;1;8;6;3;13;6;7;4;7;1;1;3;5;2;0;1;5;3;24;22.52
B. MANEL - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA;2;4;6;1;0;0;0;0;0;4;1;3;1;1;2;0;0;2;2;0;0;2;2;-2;4.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA;34;28;16;9;12;5;5;1;5;18;12;6;8;6;2;0;4;6;13;0;2;10;8;6;32.19
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA;22;20;20;7;6;2;5;2;9;16;11;5;9;4;3;0;7;5;6;2;2;11;7;2;32.2
B. MANEL - D. FERRERAS CAMARERO - N. KUSTURICA - O. FILBA GONZALEZ;16;20;15;6;5;1;3;1;7;11;9;2;8;4;3;0;6;5;6;2;2;11;7;-4;27.32
B. MANEL - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ;22;25;22;8;8;1;5;3;8;18;14;4;12;7;5;0;7;8;7;3;2;17;12;-3;40.19
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ;57;50;33;16;22;7;8;4;18;24;17;7;10;9;3;1;14;14;11;6;10;26;17;7;61.52
B. MANEL - D. FERRERAS CAMARERO - N. KUSTURICA - P. CRUZ URBANEJA;16;0;10;4;4;2;3;2;4;10;6;4;2;3;0;0;2;1;0;0;0;3;1;16;13.32
B. MANEL - J. BOUMTJE BOUMTJE - N. KUSTURICA - P. CRUZ URBANEJA;9;3;12;2;2;1;4;2;2;9;3;6;1;0;1;0;2;2;1;0;1;4;1;6;10.76
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - P. CRUZ URBANEJA;39;18;15;9;13;6;6;3;8;15;8;7;2;2;0;0;8;3;6;1;3;6;4;21;25.64
B. MANEL - D. FERRERAS CAMARERO - O. FILBA GONZALEZ - P. CRUZ URBANEJA;6;2;3;3;0;0;0;0;2;0;0;0;1;1;0;0;1;0;0;0;2;0;0;4;4.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ - P. CRUZ URBANEJA;24;11;8;6;8;4;0;0;6;7;5;2;2;1;0;0;5;1;3;1;2;4;2;13;16.0
